V1,V2,V3,V4,V5,V6,V7,Class
0,0,0,0,20,20,46.1,A
1,19,0,19,8,8,46.1,A
2,0,20,19,8,22.47,46.1,A
3,0,20,8,42,23.41,46.1,A
4,19,8,8,42,35.74,46.1,A
0,0,0,0,12,12,37.66,A
1,7,0,7,7,7,37.66,A
2,0,12,7,7,8.6,37.66,A
3,0,12,1,35,23.02,37.66,A
4,7,7,5,30,23.09,37.66,A
5,1,35,2,37,2.24,37.66,A
6,2,37,5,30,7.62,37.66,A
0,0,0,0,20,20,43.05,A
1,19,0,20,11,11.05,43.05,A
2,0,20,20,11,21.93,43.05,A
3,0,20,0,37,17,43.05,A
4,20,11,22,22,11.18,43.05,A
5,0,37,22,22,26.63,43.05,A
0,0,0,0,7,7,25,A
1,6,0,6,7,7,25,A
2,0,7,6,7,6,25,A
3,0,7,1,24,17.03,25,A
4,6,7,7,24,17.03,25,A
5,1,24,2,24,1,25,A
6,2,24,7,24,5,25,A
0,0,0,0,7,7,40,A
1,21,0,22,11,11.05,40,A
2,0,7,22,11,22.36,40,A
3,0,7,2,15,8.25,40,A
4,22,11,24,32,21.1,40,A
5,2,15,24,32,27.8,40,A
0,0,0,0,6,6,26,A
1,10,0,10,7,7,26,A
2,0,6,10,7,10.05,26,A
3,0,6,1,13,7.07,26,A
4,10,7,9,24,17.03,26,A
5,1,13,5,22,9.85,26,A
6,5,22,9,24,4.47,26,A
0,0,0,0,22,22,41.59,A
1,18,0,19,11,11.05,41.59,A
2,0,22,19,11,21.95,41.59,A
3,0,22,1,37,15.03,41.59,A
4,19,11,17,30,19.1,41.59,A
5,1,37,17,30,17.46,41.59,A
0,0,0,0,24,24,49.74,A
1,24,0,25,17,17.03,49.74,A
2,0,24,25,17,25.96,49.74,A
3,0,24,2,34,10.2,49.74,A
4,25,17,24,40,23.02,49.74,A
5,2,34,9,43,11.4,49.74,A
6,9,43,24,40,15.3,49.74,A
0,0,0,0,10,10,32.53,A
1,23,0,23,14,14,32.53,A
2,0,10,23,14,23.35,32.53,A
3,0,10,13,23,18.38,32.53,A
4,23,14,13,23,13.45,32.53,A
0,0,0,0,15,15,37.48,A
1,25,0,27,9,9.22,37.48,A
2,0,15,27,9,27.66,37.48,A
3,0,15,23,26,25.5,37.48,A
4,27,9,23,26,17.46,37.48,A
0,0,0,0,18,18,29.55,A
1,10,0,12,18,18.11,29.55,A
2,0,18,12,18,12,29.55,A
3,0,18,4,27,9.85,29.55,A
4,12,18,4,27,12.04,29.55,A
0,0,0,0,11,11,28.46,A
1,8,0,9,9,9.06,28.46,A
2,0,11,9,9,9.22,28.46,A
3,0,11,2,27,16.12,28.46,A
4,9,9,9,22,13,28.46,A
5,2,27,9,22,8.6,28.46,A
0,0,0,0,19,19,49.74,A
1,23,0,25,20,20.1,49.74,A
2,0,19,25,20,25.02,49.74,A
3,0,19,0,40,21,49.74,A
4,25,20,23,43,23.09,49.74,A
5,0,40,6,42,6.32,49.74,A
6,6,42,23,43,17.03,49.74,A
0,0,0,0,19,19,38.83,A
1,8,0,8,7,7,38.83,A
2,0,19,8,7,14.42,38.83,A
3,0,19,2,37,18.11,38.83,A
4,8,7,6,30,23.09,38.83,A
5,2,37,2,38,1,38.83,A
6,2,38,6,30,8.94,38.83,A
0,0,0,0,12,12,40.5,A
1,11,0,12,17,17.03,40.5,A
2,0,12,12,17,13,40.5,A
3,0,12,1,34,22.02,40.5,A
4,12,17,14,38,21.1,40.5,A
5,1,34,14,38,13.6,40.5,A
0,0,0,0,20,20,49.66,A
1,19,0,21,14,14.14,49.66,A
2,0,20,21,14,21.84,49.66,A
3,0,20,20,45,32.02,49.66,A
4,21,14,20,45,31.02,49.66,A
0,0,0,0,8,8,35.9,A
1,6,0,8,11,11.18,35.9,A
2,0,8,8,11,8.54,35.9,A
3,0,8,2,27,19.1,35.9,A
4,8,11,8,29,18,35.9,A
5,2,27,8,35,10,35.9,A
6,8,35,8,29,6,35.9,A
0,0,0,0,13,13,33.96,A
1,6,0,8,11,11.18,33.96,A
2,0,13,8,11,8.25,33.96,A
3,0,13,1,33,20.02,33.96,A
4,8,11,8,20,9,33.96,A
5,1,33,8,20,14.76,33.96,A
0,0,0,0,19,19,46.62,A
1,17,0,18,14,14.04,46.62,A
2,0,19,18,14,18.68,46.62,A
3,0,19,1,35,16.03,46.62,A
4,18,14,16,33,19.1,46.62,A
5,1,35,14,43,15.26,46.62,A
6,14,43,16,33,10.2,46.62,A
0,0,0,0,25,25,48.38,A
1,13,0,14,26,26.02,48.38,A
2,0,25,14,26,14.04,48.38,A
3,0,25,1,46,21.02,48.38,A
4,14,26,15,38,12.04,48.38,A
5,1,46,15,38,16.12,48.38,A
0,0,0,0,10,10,36.36,A
1,17,0,19,11,11.18,36.36,A
2,0,10,19,11,19.03,36.36,A
3,0,10,1,24,14.04,36.36,A
4,19,11,18,17,6.08,36.36,A
5,1,24,9,31,10.63,36.36,A
6,9,31,18,17,16.64,36.36,A
0,0,0,0,7,7,26.25,A
1,18,0,19,11,11.05,26.25,A
2,0,7,19,11,19.42,26.25,A
3,0,7,0,16,9,26.25,A
4,19,11,20,17,6.08,26.25,A
5,0,16,20,17,20.02,26.25,A
0,0,0,0,13,13,27.46,A
1,13,0,15,10,10.2,27.46,A
2,0,13,15,10,15.3,27.46,A
3,0,13,3,23,10.44,27.46,A
4,15,10,3,23,17.69,27.46,A
0,0,0,0,6,6,32.02,A
1,19,0,20,10,10.05,32.02,A
2,0,6,20,10,20.4,32.02,A
3,0,6,1,21,15.03,32.02,A
4,20,10,18,25,15.13,32.02,A
5,1,21,18,25,17.46,32.02,A
0,0,0,0,11,11,35.38,A
1,24,0,24,12,12,35.38,A
2,0,11,24,12,24.02,35.38,A
3,0,11,2,23,12.17,35.38,A
4,24,12,24,26,14,35.38,A
5,2,23,24,26,22.2,35.38,A
0,0,0,0,17,17,44.94,A
1,22,0,24,20,20.1,44.94,A
2,0,17,24,20,24.19,44.94,A
3,0,17,1,38,21.02,44.94,A
4,24,20,1,38,29.21,44.94,A
0,0,0,0,25,25,49.24,A
1,21,0,22,6,6.08,49.24,A
2,0,25,22,6,29.07,49.24,A
3,0,25,2,43,18.11,49.24,A
4,22,6,24,13,7.28,49.24,A
5,2,43,24,13,37.2,49.24,A
0,0,0,0,13,13,40.85,A
1,14,0,14,17,17,40.85,A
2,0,13,14,17,14.56,40.85,A
3,0,13,2,35,22.09,40.85,A
4,14,17,15,38,21.02,40.85,A
5,2,35,15,38,13.34,40.85,A
0,0,0,0,6,6,36.62,A
1,19,0,21,10,10.2,36.62,A
2,0,6,21,10,21.38,36.62,A
3,0,6,2,12,6.32,36.62,A
4,21,10,21,30,20,36.62,A
5,2,12,21,30,26.17,36.62,A
0,0,0,0,13,13,30.08,A
1,7,0,8,15,15.03,30.08,A
2,0,13,8,15,8.25,30.08,A
3,0,13,2,29,16.12,30.08,A
4,8,15,2,29,15.23,30.08,A
0,0,0,0,11,11,26.63,A
1,15,0,15,14,14,26.63,A
2,0,11,15,14,15.3,26.63,A
3,0,11,2,22,11.18,26.63,A
4,15,14,2,22,15.26,26.63,A
0,0,0,0,14,14,21.19,A
1,6,0,7,12,12.04,21.19,A
2,0,14,7,12,7.28,21.19,A
3,0,14,5,20,7.81,21.19,A
4,7,12,5,20,8.25,21.19,A
0,0,0,0,25,25,44.38,A
1,15,0,16,6,6.08,44.38,A
2,0,25,16,6,24.84,44.38,A
3,0,25,1,41,16.03,44.38,A
4,16,6,17,30,24.02,44.38,A
5,1,41,17,30,19.42,44.38,A
0,0,0,0,7,7,39.05,A
1,22,0,24,10,10.2,39.05,A
2,0,7,24,10,24.19,39.05,A
3,0,7,0,26,19,39.05,A
4,24,10,25,24,14.04,39.05,A
5,0,26,14,30,14.56,39.05,A
6,14,30,25,24,12.53,39.05,A
0,0,0,0,22,22,56.46,A
1,22,0,22,15,15,56.46,A
2,0,22,22,15,23.09,56.46,A
3,0,22,2,45,23.09,56.46,A
4,22,15,20,36,21.1,56.46,A
5,2,45,14,52,13.89,56.46,A
6,14,52,20,36,17.09,56.46,A
0,0,0,0,19,19,37.66,A
1,6,0,7,24,24.02,37.66,A
2,0,19,7,24,8.6,37.66,A
3,0,19,0,31,12,37.66,A
4,7,24,5,37,13.15,37.66,A
5,0,31,5,37,7.81,37.66,A
0,0,0,0,16,16,47.17,A
1,25,0,25,18,18,47.17,A
2,0,16,25,18,25.08,47.17,A
3,0,16,0,33,17,47.17,A
4,25,18,25,40,22,47.17,A
5,0,33,1,33,1,47.17,A
6,1,33,25,40,25,47.17,A
0,0,0,0,10,10,33.62,A
1,16,0,17,14,14.04,33.62,A
2,0,10,17,14,17.46,33.62,A
3,0,10,2,23,13.15,33.62,A
4,17,14,15,28,14.14,33.62,A
5,2,23,13,29,12.53,33.62,A
6,13,29,15,28,2.24,33.62,A
0,0,0,0,21,21,44.94,A
1,22,0,24,23,23.09,44.94,A
2,0,21,24,23,24.08,44.94,A
3,0,21,14,38,22.02,44.94,A
4,24,23,14,38,18.03,44.94,A
0,0,0,0,17,17,38.08,A
1,9,0,9,17,17,38.08,A
2,0,17,9,17,9,38.08,A
3,0,17,5,37,20.62,38.08,A
4,9,17,5,37,20.4,38.08,A
0,0,0,0,24,24,30.59,A
1,6,0,6,13,13,30.59,A
2,0,24,6,13,12.53,30.59,A
3,0,24,2,30,6.32,30.59,A
4,6,13,2,30,17.46,30.59,A
0,0,0,0,12,12,36.72,A
1,17,0,18,12,12.04,36.72,A
2,0,12,18,12,18,36.72,A
3,0,12,14,32,24.41,36.72,A
4,18,12,14,32,20.4,36.72,A
0,0,0,0,22,22,52.33,A
1,22,0,23,12,12.04,52.33,A
2,0,22,23,12,25.08,52.33,A
3,0,22,14,47,28.65,52.33,A
4,23,12,14,47,36.14,52.33,A
0,0,0,0,17,17,29.53,A
1,12,0,14,21,21.1,29.53,A
2,0,17,14,21,14.56,29.53,A
3,0,17,6,26,10.82,29.53,A
4,14,21,6,26,9.43,29.53,A
0,0,0,0,7,7,38.83,A
1,22,0,22,7,7,38.83,A
2,0,7,22,7,22,38.83,A
3,0,7,1,32,25.02,38.83,A
4,22,7,22,31,24,38.83,A
5,1,32,22,31,21.02,38.83,A
0,0,0,0,18,18,43.68,A
1,8,0,10,16,16.12,43.68,A
2,0,18,10,16,10.2,43.68,A
3,0,18,2,37,19.1,43.68,A
4,10,16,12,24,8.25,43.68,A
5,2,37,10,42,9.43,43.68,A
6,10,42,12,24,18.11,43.68,A
0,0,0,0,19,19,53.85,A
1,19,0,20,15,15.03,53.85,A
2,0,19,20,15,20.4,53.85,A
3,0,19,2,43,24.08,53.85,A
4,20,15,20,40,25,53.85,A
5,2,43,12,50,12.21,53.85,A
6,12,50,20,40,12.81,53.85,A
0,0,0,0,25,25,55.9,A
1,8,0,10,11,11.18,55.9,A
2,0,25,10,11,17.2,55.9,A
3,0,25,2,46,21.1,55.9,A
4,10,11,10,32,21,55.9,A
5,2,46,4,55,9.22,55.9,A
6,4,55,10,32,23.77,55.9,A
0,0,0,0,19,19,38.95,A
1,18,0,19,18,18.03,38.95,A
2,0,19,19,18,19.03,38.95,A
3,0,19,1,27,8.06,38.95,A
4,19,18,19,34,16,38.95,A
5,1,27,19,34,19.31,38.95,A
0,0,0,0,11,11,32.2,A
1,18,0,19,13,13.04,32.2,A
2,0,11,19,13,19.1,32.2,A
3,0,11,1,18,7.07,32.2,A
4,19,13,17,26,13.15,32.2,A
5,1,18,9,24,10,32.2,A
6,9,24,17,26,8.25,32.2,A
0,0,0,0,11,11,40.22,A
1,21,0,22,15,15.03,40.22,A
2,0,11,22,15,22.36,40.22,A
3,0,11,1,29,18.03,40.22,A
4,22,15,23,33,18.03,40.22,A
5,1,29,23,33,22.36,40.22,A
0,0,0,0,18,18,44.64,A
1,11,0,12,7,7.07,44.64,A
2,0,18,12,7,16.28,44.64,A
3,0,18,2,38,20.1,44.64,A
4,12,7,12,21,14,44.64,A
5,2,38,5,43,5.83,44.64,A
6,5,43,12,21,23.09,44.64,A
0,0,0,0,9,9,30.46,A
1,10,0,10,7,7,30.46,A
2,0,9,10,7,10.2,30.46,A
3,0,9,2,23,14.14,30.46,A
4,10,7,12,28,21.1,30.46,A
5,2,23,6,28,6.4,30.46,A
6,6,28,12,28,6,30.46,A
0,0,0,0,8,8,40.82,A
1,20,0,21,12,12.04,40.82,A
2,0,8,21,12,21.38,40.82,A
3,0,8,1,17,9.06,40.82,A
4,21,12,21,35,23,40.82,A
5,1,17,21,35,26.91,40.82,A
0,0,0,0,14,14,39.81,A
